"Bus Line","Date","Week","Trip Number","Bus Capacity","Passengers","Morning SR","Noon SR","Evening SR","Solidity Ratio"
"317","3/1/2024","Weekday","43","6020","3931","71.32%","55.27%","69.31%","65%"
"317","3/2/2024","Weekend","36","5040","3623","76.92%","63.48%","75.24%","72%"
"317","3/3/2024","Weekend","22","3080","1707","58.50%","50.29%","57.48%","55%"
"317","3/4/2024","Weekday","43","6020","3652","66.68%","50.63%","64.68%","61%"
"317","3/5/2024","Weekday","42","5880","4392","80.57%","64.89%","78.61%","75%"
"317","3/6/2024","Weekday","43","6020","4008","72.60%","56.54%","70.59%","67%"
"317","3/7/2024","Weekday","43","6020","3974","72.03%","55.98%","70.03%","66%"
"317","3/8/2024","Weekday","39","5,460","4,026","79.20%","64.64%","77.38%","74%"
"317","3/9/2024","Weekend","36","5,040","3,263","69.78%","56.34%","68.10%","65%"
"317","3/10/2024","Weekend","22","3,080","1,753","60.00%","51.78%","58.97%","57%"
"317","3/11/2024","Weekday","43","6,020","3,504","64.23%","48.17%","62.22%","58%"
"317","3/12/2024","Weekday","43","6,020","3,658","66.78%","50.73%","64.78%","61%"
"317","3/13/2024","Weekday","43","6,020","3,609","65.97%","49.92%","63.96%","60%"
"317","3/14/2024","Weekday","44","6,160","3,469","62.47%","46.05%","60.42%","56%"
"317","3/15/2024","Weekday","43","6,020","4,194","75.69%","59.63%","73.68%","70%"
"317","3/16/2024","Weekend","36","5,040","3,249","69.50%","56.06%","67.82%","64%"
"317","3/17/2024","Weekend","22","3,080","1,495","51.62%","43.41%","50.59%","49%"
"317","3/18/2024","Weekday","42","5,880","3,791","70.35%","54.67%","68.39%","64%"
"317","3/19/2024","Weekday","43","6,020","3,783","68.86%","52.81%","66.85%","63%"
"317","3/20/2024","Weekday","44","6,160","3,897","69.42%","53.00%","67.37%","63%"
"317","3/21/2024","Weekday","43","6,020","3,221","59.52%","43.47%","57.52%","54%"
"317","3/22/2024","Weekday","43","6,020","3,561","65.17%","49.12%","63.17%","59%"
"317","3/23/2024","Weekend","38","5,320","2,924","60.28%","46.10%","58.51%","55%"
"317","3/24/2024","Weekend","21","2,940","1,688","60.35%","52.51%","59.37%","57%"
"317","3/25/2024","Weekday","42","5,880","3,683","68.52%","52.84%","66.56%","63%"
"317","3/26/2024","Weekday","43","6,020","3,620","66.15%","50.10%","64.15%","60%"
"317","3/27/2024","Weekday","43","6,020","3,957","71.75%","55.70%","69.74%","66%"
"317","3/28/2024","Weekday","43","6,020","3,850","69.97%","53.92%","67.97%","64%"
"317","3/29/2024","Weekday","43","6,020","4,094","74.03%","57.97%","72.02%","68%"
"317","3/30/2024","Weekend","36","5,040","3,231","69.15%","55.71%","67.47%","64%"
"317","3/31/2024","Weekend","22","3,080","1,393","48.31%","40.09%","47.28%","45%"
"317","4/1/2024","Weekday","42","5,880","3,455","64.64%","48.96%","62.68%","59%"
"317","4/2/2024","Weekday","43","6,020","4,027","72.91%","56.86%","70.91%","67%"
"317","4/3/2024","Weekday","41","5,740","4,098","77.13%","61.83%","75.22%","71%"
"317","4/4/2024","Weekday","39","5,460","3,326","66.38%","51.82%","64.56%","61%"
"317","4/5/2024","Weekday","40","5,600","3,745","72.48%","57.54%","70.61%","67%"
"317","4/6/2024","Weekend","37","5,180","2,838","59.97%","46.15%","58.24%","55%"
"317","4/7/2024","Weekend","27","3,780","1,513","43.81%","33.73%","42.55%","40%"
"317","4/8/2024","Weekday","42","6,020","2,540","48.21%","32.16%","46.21%","42%"
"317","4/9/2024","Weekday","42","5,880","2,401","46.71%","31.03%","44.75%","41%"
"317","4/10/2024","Weekday","43","6,020","3,545","64.91%","48.85%","62.90%","59%"
"317","4/11/2024","Weekday","43","6,160","3,620","64.93%","48.50%","62.87%","59%"
"317","4/12/2024","Weekday","44","6,160","3,800","67.85%","51.42%","65.79%","62%"
"317","4/13/2024","Weekend","35","4,900","2,000","45.72%","32.65%","44.08%","41%"
"317","4/14/2024","Weekend","24","3,360","1,259","40.83%","31.87%","39.71%","37%"
"317","4/15/2024","Weekday","44","6,160","3,573","64.16%","47.74%","62.11%","58%"
"317","4/16/2024","Weekday","43","6,020","3,560","65.16%","49.10%","63.15%","59%"
"317","4/17/2024","Weekday","44","6,160","3,499","62.96%","46.54%","60.91%","57%"
"317","4/18/2024","Weekday","45","6,300","3,660","64.40%","47.60%","62.30%","58%"
"317","4/19/2024","Weekday","43","6,020","3,700","67.48%","51.43%","65.48%","61%"
"317","4/20/2024","Weekend","36","5,040","2,522","55.08%","41.64%","53.40%","50%"
"317","4/21/2024","Weekend","22","3,080","1,871","63.83%","55.61%","62.80%","61%"
"317","4/22/2024","Weekday","42","5,880","3,891","72.05%","56.37%","70.09%","66%"
"317","4/23/2024","Weekday","50","7,020","5,321","82.82%","64.10%","80.48%","76%"
"317","4/24/2024","Weekday","44","6,160","4,011","71.27%","54.85%","69.22%","65%"
"317","4/25/2024","Weekday","44","6,160","3,796","67.78%","51.36%","65.73%","62%"
"317","4/26/2024","Weekday","42","5,880","4,239","77.97%","62.29%","76.01%","72%"
"317","4/27/2024","Weekend","36","5,040","3,251","69.54%","56.10%","67.86%","65%"
"317","4/28/2024","Weekend","22","3,080","1,429","49.48%","41.26%","48.45%","46%"
"317","4/29/2024","Weekday","44","6,160","3,765","67.28%","50.85%","65.23%","61%"
"317","4/30/2024","Weekday","44","6,160","3,804","67.91%","51.49%","65.86%","62%"
"317","5/1/2024","Weekday","41","5,780","3,562","67.41%","51.99%","65.48%","62%"
"317","5/2/2024","Weekday","42","5,880","3,648","67.92%","52.24%","65.96%","62%"
"317","5/3/2024","Weekday","44","6,160","3,707","66.34%","49.91%","64.29%","60%"
"317","5/4/2024","Weekend","36","5,040","3,095","66.45%","53.01%","64.77%","61%"
"317","5/5/2024","Weekend","22","3,080","1,588","54.64%","46.43%","53.61%","52%"
"317","5/6/2024","Weekday","44","6,160","3,895","69.39%","52.96%","67.34%","63%"
"317","5/7/2024","Weekday","44","6,160","3,524","63.37%","46.94%","61.31%","57%"
"317","5/8/2024","Weekday","44","6,160","3,622","64.96%","48.53%","62.91%","59%"
"317","5/9/2024","Weekday","47","6,580","3,946","66.55%","49.00%","64.36%","60%"
"317","5/10/2024","Weekday","45","6,300","4,229","73.43%","56.63%","71.33%","67%"
"317","5/11/2024","Weekend","38","5,320","2,824","58.40%","44.22%","56.63%","53%"
"317","5/12/2024","Weekend","23","3,220","1,092","37.13%","28.55%","36.06%","34%"
"317","5/13/2024","Weekday","45","6,300","3,525","62.25%","45.45%","60.15%","56%"
"317","5/14/2024","Weekday","46","6,440","3,369","58.75%","41.58%","56.61%","52%"
"317","5/15/2024","Weekday","47","6,580","3,767","63.83%","46.28%","61.64%","57%"
"317","5/16/2024","Weekday","45","6,300","3,407","60.38%","43.58%","58.28%","54%"
"317","5/17/2024","Weekday","45","6,300","4,210","73.13%","56.33%","71.03%","67%"
"317","5/18/2024","Weekend","38","5,320","3,027","62.22%","48.03%","60.45%","57%"
"317","5/19/2024","Weekend","48","6,923","4,654","74.15%","55.69%","71.84%","67%"
"317","5/20/2024","Weekday","47","6,580","3,846","65.03%","47.48%","62.84%","58%"
"317","5/21/2024","Weekday","46","6,440","4,122","70.45%","53.27%","68.30%","64%"
"317","5/22/2024","Weekday","47","6,580","3,591","61.15%","43.61%","58.96%","55%"
"317","5/23/2024","Weekday","45","6,300","3,246","57.82%","41.02%","55.72%","52%"
